2 (0.0°) 	1075.0	720.0	250.0	 distance:	1293.841180361794	 rand: 1.0
2 (0.0°) 	1075.0	560.0	250.0	 distance:	1212.1159185490471	 rand: 1.0
2 (0.0°) 	1075.0	400.0	250.0	 distance:	1147.0069746954462	 rand: 1.0
2 (0.0°) 	885.0	720.0	250.0	 distance:	1140.8878121883852	 rand: 1.0
2 (0.0°) 	1075.0	240.0	250.0	 distance:	1101.4649336224916	 rand: 1.0
2 (0.0°) 	1075.0	80.0	250.0	 distance:	1077.9726341609976	 rand: 1.0
2 (0.0°) 	885.0	560.0	250.0	 distance:	1047.2941325148347	 rand: 1.0
2 (0.0°) 	695.0	720.0	250.0	 distance:	1000.7122463525666	 rand: 1.0
2 (0.0°) 	885.0	400.0	250.0	 distance:	971.1977141653496	 rand: 1.0
2 (0.0°) 	885.0	240.0	250.0	 distance:	916.9651029346754	 rand: 1.0
2 (0.0°) 	695.0	560.0	250.0	 distance:	892.5385145751414	 rand: 1.0
2 (0.0°) 	885.0	80.0	250.0	 distance:	888.608462710096	 rand: 1.0
1 (0.0°) 	475.0	670.0	175.0	 distance:	821.2947095896819	 rand: 1.0
2 (0.0°) 	695.0	400.0	250.0	 distance:	801.8883962248113	 rand: 1.0
2 (0.0°) 	695.0	240.0	250.0	 distance:	735.2720584926371	 rand: 1.0
1 (0.0°) 	225.0	670.0	175.0	 distance:	706.7708256570867	 rand: 1.0
2 (0.0°) 	695.0	80.0	250.0	 distance:	699.5891651533777	 rand: 1.0
1 (0.0°) 	475.0	490.0	175.0	 distance:	682.440473594584	 rand: 1.0
1 (0.0°) 	475.0	310.0	175.0	 distance:	567.2080746956975	 rand: 1.0
1 (0.0°) 	225.0	490.0	175.0	 distance:	539.1892061234164	 rand: 1.0
1 (0.0°) 	475.0	130.0	175.0	 distance:	492.4682730897494	 rand: 1.0
1 (0.0°) 	225.0	310.0	175.0	 distance:	383.0469945058961	 rand: 1.0
1 (0.0°) 	225.0	130.0	175.0	 distance:	259.8557292037257	 rand: 1.0
2 (0.0°) 	1075.0	720.0	750.0	 distance:	1293.841180361794	 rand: 2.0
2 (0.0°) 	1075.0	560.0	750.0	 distance:	1212.1159185490471	 rand: 2.0
2 (0.0°) 	1075.0	400.0	750.0	 distance:	1147.0069746954462	 rand: 2.0
2 (0.0°) 	885.0	720.0	750.0	 distance:	1140.8878121883852	 rand: 2.0
2 (0.0°) 	1075.0	240.0	750.0	 distance:	1101.4649336224916	 rand: 2.0
2 (0.0°) 	1075.0	80.0	750.0	 distance:	1077.9726341609976	 rand: 2.0
2 (0.0°) 	885.0	560.0	750.0	 distance:	1047.2941325148347	 rand: 2.0
2 (0.0°) 	695.0	720.0	750.0	 distance:	1000.7122463525666	 rand: 2.0
2 (0.0°) 	885.0	400.0	750.0	 distance:	971.1977141653496	 rand: 2.0
2 (0.0°) 	885.0	240.0	750.0	 distance:	916.9651029346754	 rand: 2.0
2 (0.0°) 	695.0	560.0	750.0	 distance:	892.5385145751414	 rand: 2.0
2 (0.0°) 	885.0	80.0	750.0	 distance:	888.608462710096	 rand: 2.0
1 (0.0°) 	475.0	670.0	525.0	 distance:	821.2947095896819	 rand: 2.0
2 (0.0°) 	695.0	400.0	750.0	 distance:	801.8883962248113	 rand: 2.0
2 (0.0°) 	695.0	240.0	750.0	 distance:	735.2720584926371	 rand: 2.0
1 (0.0°) 	225.0	670.0	525.0	 distance:	706.7708256570867	 rand: 2.0
2 (0.0°) 	695.0	80.0	750.0	 distance:	699.5891651533777	 rand: 2.0
1 (0.0°) 	475.0	490.0	525.0	 distance:	682.440473594584	 rand: 2.0
1 (0.0°) 	475.0	310.0	525.0	 distance:	567.2080746956975	 rand: 2.0
1 (0.0°) 	225.0	490.0	525.0	 distance:	539.1892061234164	 rand: 2.0
1 (0.0°) 	475.0	130.0	525.0	 distance:	492.4682730897494	 rand: 2.0
1 (0.0°) 	225.0	310.0	525.0	 distance:	383.0469945058961	 rand: 2.0
1 (0.0°) 	225.0	130.0	525.0	 distance:	259.8557292037257	 rand: 2.0
2 (0.0°) 	1075.0	720.0	1250.0	 distance:	1293.841180361794	 rand: 3.0
2 (0.0°) 	1075.0	560.0	1250.0	 distance:	1212.1159185490471	 rand: 3.0
2 (0.0°) 	1075.0	400.0	1250.0	 distance:	1147.0069746954462	 rand: 3.0
2 (0.0°) 	885.0	720.0	1250.0	 distance:	1140.8878121883852	 rand: 3.0
2 (0.0°) 	1075.0	240.0	1250.0	 distance:	1101.4649336224916	 rand: 3.0
2 (0.0°) 	1075.0	80.0	1250.0	 distance:	1077.9726341609976	 rand: 3.0
2 (0.0°) 	885.0	560.0	1250.0	 distance:	1047.2941325148347	 rand: 3.0
2 (0.0°) 	695.0	720.0	1250.0	 distance:	1000.7122463525666	 rand: 3.0
2 (0.0°) 	885.0	400.0	1250.0	 distance:	971.1977141653496	 rand: 3.0
2 (0.0°) 	885.0	240.0	1250.0	 distance:	916.9651029346754	 rand: 3.0
2 (0.0°) 	695.0	560.0	1250.0	 distance:	892.5385145751414	 rand: 3.0
2 (0.0°) 	885.0	80.0	1250.0	 distance:	888.608462710096	 rand: 3.0
1 (0.0°) 	475.0	670.0	875.0	 distance:	821.2947095896819	 rand: 3.0
2 (0.0°) 	695.0	400.0	1250.0	 distance:	801.8883962248113	 rand: 3.0
2 (0.0°) 	695.0	240.0	1250.0	 distance:	735.2720584926371	 rand: 3.0
1 (0.0°) 	225.0	670.0	875.0	 distance:	706.7708256570867	 rand: 3.0
2 (0.0°) 	695.0	80.0	1250.0	 distance:	699.5891651533777	 rand: 3.0
1 (0.0°) 	475.0	490.0	875.0	 distance:	682.440473594584	 rand: 3.0
1 (0.0°) 	475.0	310.0	875.0	 distance:	567.2080746956975	 rand: 3.0
1 (0.0°) 	225.0	490.0	875.0	 distance:	539.1892061234164	 rand: 3.0
1 (0.0°) 	475.0	130.0	875.0	 distance:	492.4682730897494	 rand: 3.0
1 (0.0°) 	225.0	310.0	875.0	 distance:	383.0469945058961	 rand: 3.0
1 (0.0°) 	225.0	130.0	875.0	 distance:	259.8557292037257	 rand: 3.0
2 (0.0°) 	1075.0	720.0	1750.0	 distance:	1293.841180361794	 rand: 4.0
2 (0.0°) 	1075.0	560.0	1750.0	 distance:	1212.1159185490471	 rand: 4.0
2 (0.0°) 	1075.0	400.0	1750.0	 distance:	1147.0069746954462	 rand: 4.0
2 (0.0°) 	885.0	720.0	1750.0	 distance:	1140.8878121883852	 rand: 4.0
2 (0.0°) 	1075.0	240.0	1750.0	 distance:	1101.4649336224916	 rand: 4.0
2 (0.0°) 	1075.0	80.0	1750.0	 distance:	1077.9726341609976	 rand: 4.0
2 (0.0°) 	885.0	560.0	1750.0	 distance:	1047.2941325148347	 rand: 4.0
2 (0.0°) 	695.0	720.0	1750.0	 distance:	1000.7122463525666	 rand: 4.0
2 (0.0°) 	885.0	400.0	1750.0	 distance:	971.1977141653496	 rand: 4.0
2 (0.0°) 	885.0	240.0	1750.0	 distance:	916.9651029346754	 rand: 4.0
2 (0.0°) 	695.0	560.0	1750.0	 distance:	892.5385145751414	 rand: 4.0
2 (0.0°) 	885.0	80.0	1750.0	 distance:	888.608462710096	 rand: 4.0
1 (0.0°) 	475.0	670.0	1225.0	 distance:	821.2947095896819	 rand: 4.0
2 (0.0°) 	695.0	400.0	1750.0	 distance:	801.8883962248113	 rand: 4.0
2 (0.0°) 	695.0	240.0	1750.0	 distance:	735.2720584926371	 rand: 4.0
1 (0.0°) 	225.0	670.0	1225.0	 distance:	706.7708256570867	 rand: 4.0
2 (0.0°) 	695.0	80.0	1750.0	 distance:	699.5891651533777	 rand: 4.0
1 (0.0°) 	475.0	490.0	1225.0	 distance:	682.440473594584	 rand: 4.0
1 (0.0°) 	475.0	310.0	1225.0	 distance:	567.2080746956975	 rand: 4.0
1 (0.0°) 	225.0	490.0	1225.0	 distance:	539.1892061234164	 rand: 4.0
1 (0.0°) 	475.0	130.0	1225.0	 distance:	492.4682730897494	 rand: 4.0
1 (0.0°) 	225.0	310.0	1225.0	 distance:	383.0469945058961	 rand: 4.0
1 (0.0°) 	225.0	130.0	1225.0	 distance:	259.8557292037257	 rand: 4.0
1 (0.0°) 	475.0	670.0	1575.0	 distance:	821.2947095896819	 rand: 5.0
1 (0.0°) 	225.0	670.0	1575.0	 distance:	706.7708256570867	 rand: 5.0
1 (0.0°) 	475.0	490.0	1575.0	 distance:	682.440473594584	 rand: 5.0
1 (0.0°) 	475.0	310.0	1575.0	 distance:	567.2080746956975	 rand: 5.0
1 (0.0°) 	225.0	490.0	1575.0	 distance:	539.1892061234164	 rand: 5.0
1 (0.0°) 	475.0	130.0	1575.0	 distance:	492.4682730897494	 rand: 5.0
1 (0.0°) 	225.0	310.0	1575.0	 distance:	383.0469945058961	 rand: 5.0
1 (0.0°) 	225.0	130.0	1575.0	 distance:	259.8557292037257	 rand: 5.0
